month,Median rise in meter
2006-03-01,0.031590610742569
2006-04-01,0.0321622341871262
2006-05-01,0.0323572270572186
2006-06-01,0.0340073741972446
2006-07-01,0.0345247201621532
2006-08-01,0.0370263569056988
2006-09-01,0.0430273711681366
2006-10-01,0.0453966669738293
2006-11-01,0.0440775863826275
2006-12-01,0.0414271876215935
2007-01-01,0.038247361779213
2007-02-01,0.0327282622456551
2007-03-01,0.0331416875123978
2007-04-01,0.0351419001817703
2007-05-01,0.0337583124637604
2007-06-01,0.0317215137183666
2007-07-01,0.0334617495536804
2007-08-01,0.0349432863295078
2007-09-01,0.0406236574053764
2007-10-01,0.043514970690012
2007-11-01,0.0452560186386108
2007-12-01,0.0430641174316406
2008-01-01,0.0395563878118992
2008-02-01,0.037894431501627
2008-03-01,0.0359626039862633
2008-04-01,0.0357480011880398
2008-05-01,0.0383300855755806
2008-06-01,0.039794921875
2008-07-01,0.0394640825688839
2008-08-01,0.0411172956228256
2008-09-01,0.0457083471119404
2008-10-01,0.0483065508306026
2008-11-01,0.0498523600399494
2008-12-01,0.0487680844962597
2009-01-01,0.0443135127425194
2009-02-01,0.0395805947482586
2009-03-01,0.0396880879998207
2009-04-01,0.0392180010676384
2009-05-01,0.0391993783414364
2009-06-01,0.0392947383224964
2009-07-01,0.0407832190394402
2009-08-01,0.0447329469025135
2009-09-01,0.0512850284576416
2009-10-01,0.0543171726167202
2009-11-01,0.0541938096284866
2009-12-01,0.0519513078033924
2010-01-01,0.047314427793026
2010-02-01,0.043549969792366
2010-03-01,0.0423984825611115
2010-04-01,0.0421118922531605
2010-05-01,0.0423218533396721
2010-06-01,0.0436433106660843
2010-07-01,0.0453355275094509
2010-08-01,0.0468737781047821
2010-09-01,0.0493467301130295
2010-10-01,0.052046824246645
2010-11-01,0.0518421307206154
2010-12-01,0.048620417714119
2011-01-01,0.046434573829174
2011-02-01,0.0408026985824108
2011-03-01,0.0397240705788136
2011-04-01,0.0388410277664661
2011-05-01,0.0392081439495087
2011-06-01,0.0406944304704666
2011-07-01,0.0429863110184669
2011-08-01,0.047950591892004
2011-09-01,0.0526489280164242
2011-10-01,0.0553651973605156
2011-11-01,0.0556180886924267
2011-12-01,0.0552879720926285
2012-01-01,0.0532507114112377
2012-02-01,0.0513223521411419
2012-03-01,0.0493260584771633
2012-04-01,0.0492047220468521
2012-05-01,0.0493528470396996
2012-06-01,0.0521743334829807
2012-07-01,0.0547386817634106
2012-08-01,0.0582305565476418
2012-09-01,0.0613105371594429
2012-10-01,0.0660469830036163
2012-11-01,0.0651594698429108
2012-12-01,0.0636242479085922
2013-01-01,0.0600597746670246
2013-02-01,0.0578903220593929
2013-03-01,0.0556335262954235
2013-04-01,0.0540453270077705
2013-05-01,0.0544498339295387
2013-06-01,0.0531900860369205
2013-07-01,0.053786713629961
2013-08-01,0.0566434524953365
2013-09-01,0.0598319806158543
2013-10-01,0.06490857899189
2013-11-01,0.0653370842337608
2013-12-01,0.0619328320026398
2014-01-01,0.0599051490426064
2014-02-01,0.0579699166119099
2014-03-01,0.0567078292369843
2014-04-01,0.0551526695489883
2014-05-01,0.0545780211687088
2014-06-01,0.0556323826313019
2014-07-01,0.0593644678592682
2014-08-01,0.0614479370415211
2014-09-01,0.0660634487867355
2014-10-01,0.0701765343546867
2014-11-01,0.0687360987067223
2014-12-01,0.0678619965910912
2015-01-01,0.0674414858222008
2015-02-01,0.0655968189239502
2015-03-01,0.0656237453222275
2015-04-01,0.0635699406266212
2015-05-01,0.0644071474671364
2015-06-01,0.0634518265724182
2015-07-01,0.0668573006987572
2015-08-01,0.0708118453621864
2015-09-01,0.0773754715919495
2015-10-01,0.0811417922377586
2015-11-01,0.0795000120997429
2015-12-01,0.0772333443164825
